title,imageSrc
โจ๊กไก่ต้มซอสไห่หนาน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022101313261200414/detail/menueditor_item_6f3652d8abe9431ea37685e1f3594d73_1665667519283581576.webp
ไก่รวม 2 อย่าง (ใหญ่),https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022050109580542451/detail/menueditor_item_9b1b1fbfc46b47fb95c0b13076f88685_1651399022171316094.webp
ไก่ทอด (ใหญ่),https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022050109562599893/detail/menueditor_item_8d71fbfa2a374504b156d97684df5482_1651398945253118116.webp
ไก่ต้ม ซอสไห่หนาน (ใหญ่),https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022050109552785977/detail/menueditor_item_3fcdb37bf1e445c3b9346be523921d90_1651398863301228164.webp
ไก่ทอด (กลาง),https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022050109534075828/detail/menueditor_item_055cf0f9ffc34c87b50d0bd592ac346d_1651398780419190098.webp
ไก่ต้ม ซอสไห่หนาน (กลาง),https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022050109520817772/detail/menueditor_item_a938a3d6675445308da457b148f3d43d_1651398673615258262.webp
ข้าวมันไก่ทอด (เล็ก),https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022050109485187796/detail/menueditor_item_8a31acb3a5714a36b078ad4fb1f112a0_1651398487067904154.webp
ข้าวมันไก่สิงคโปร์ (เล็ก),https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022050109474777427/detail/menueditor_item_cbe7421a2c3a4c139d436d93fa155892_1651398382395102451.webp
ซอสสูตรลับเฉพาะ ของ Fatt Chicken,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023061015594233268/detail/menueditor_item_68fc31f0ecf24d97aa60c17b1b20ab64_1686412726174033533.webp
ข้าวอบหม้อดิน นานหยางสไตล์,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023050214364135822/detail/menueditor_item_17066e56d84148cebcf12e4543bf7f93_1683038186225021796.webp
เกี๊ยวเสฉวนในน้ำซุปหอยเชลล์แห้ง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022120116332799621/detail/menueditor_item_b3530b06276c4daa8265288f323eda35_1669912364571309434.webp
คะน้าน้ำ มันหอย,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022101403374719938/detail/menueditor_item_93e7b067676243e78ca243c761329b7c_1665718640340929252.webp
หมูสามชั้นตุ๋นผักกาดดอง (เคาหยก),https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022101403325491498/detail/menueditor_item_eef9c41adc9e4807b230fd1880418c03_1665718351160264413.webp
ปีกไก่ทอดกะปิ (6 ชิ้น),https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022101403232167092/detail/menueditor_item_6fd9e25360504919951dbdd44a6218e0_1665717753804970329.webp
บักกุดเต๋,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022050113442361888/detail/menueditor_item_45ac8d21be6c45579c7de8a2d5df5de2_1651412602263625902.webp
ข้าวไข่ข้นไก่นึ่งซอสไก่หนาน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021071701270883233/detail/menueditor_item_c8dbb6bec5e9499488a4bb547489a75c_1626485154556355475.webp
ข้าวไข่ข้นไก่ทอดซอสไห่หนาน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021071701240132234/detail/menueditor_item_55173bc9857b40edaec2f56308db27d4_1626484926627013575.webp
ข้าวเหนียวผัดไข่คั่วแจ่วบองคอหมูย่าง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022072615211169331/detail/menueditor_item_8b160af13d344f6caf1de775ff268507_1658848858006509434.webp
ข้าวไข่ข้นหมูสมบูรณ์,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021100809000705795/detail/menueditor_item_5ccce205c629469ca819d4c045406756_1633683574680226069.webp
หมูสามชั้นทอดน้ำปลา,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3CLFKCE6/detail/392a48e2864444a48f39dbfa66d439e4_1588676787075630664.webp
