shopName,name,imageSrc
zong,แขนงหมูกรอบราดข้าว,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20210809105117188372/detail/menueditor_item_4236ab5cc9354790a59f5df427431cfb_1630119019995402632.webp
zong,ข้าวหน้าไข่ยู่ยี่กุ้ง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2020051619540394313/detail/menueditor_item_1fa544b206634d909d9761688b8622a3_1589658787024226973.webp
RongsiPochana,ข้าวกุ้งผัดพริกขี้หนู,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CY5XC333LKNVV2-CY5XC34CWFBDME/detail/eeb8220989a0452f825ee30ac5d349c5_1598463590772381955.webp
s-and-p,ข้าวกุ้งผัดพริกขี้หนู,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20220331101228062437/detail/5beadc86e8f548b1b5c279bd64064819_1648721548280521697.webp
RongsiPochana,โกยซีหมี่,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20211214170801018425/detail/70ad52556f004d6eb6ca9e8d9d84283b_1639501676272847072.webp
kub-kao-kub-pla,โกยซีหมี่,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20211021180940110162/detail/1167e126d3fa428e84c9cfed68c2157f_1634839771685467266.webp
sanyod,โกยซีหมี่,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDHJU3AAKUFWA-CZDHJU3GAADBLJ/detail/694007d760b84d37a78bcc6c67347f1c_1586744726036371660.webp
coffee-bean-by-dao,ข้าวซอยไก่,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022101212445779753/detail/menueditor_item_4410721744094b158c1edbb82b9b22a4_1665578691366190019.webp
coffee-bean-by-dao,ก๋วยเตี๋ยวลุยสวน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20200420160927196698/detail/menueditor_item_c37607ba652d457aa98a39ec6d93a0df_1618105623539494628.webp
coffee-bean-by-dao,ข้าวคลุกกะปิ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDEDBJBA7UUFE-CZDWV8KTEJEFRE/detail/881738edb157409a95433b36be5c498c_1587397930269277135.webp
s-and-p,ข้าวคลุกกะปิ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20230423114545018833/detail/bc4febc00bfc49c29e7ef7e35dfca9f4_1684669638619963416.webp
s-and-p,ข้าวคลุกกะปิ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20230423114545018833/detail/bc4febc00bfc49c29e7ef7e35dfca9f4_1684669638619963416.webp
s-and-p,ข้าวคลุกกะปิ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20220331101227049729/detail/090502e2037c49069a1b099831925ba9_1648721547163698439.webp
